label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
distracted,11.575,0.0,0.46652267818574517,0.0,0.059163059044476926,1485.5,188
distracted,11.675,0.0,0.9635974304068522,0.0,0.006048387088232067,1583.5000000000002,233
distracted,13.85,0.0,0.7912154031287605,0.0,0.05541237101534102,3005.25,198
distracted,17.316666666666666,0.00048123195380173246,0.4422521655437921,0.017324350336862367,0.11858974319482453,15486.361111111111,129
distracted,15.1,0.0005518763796909492,0.5408388520971302,0.019867549668874173,0.03707052435156258,12825.25,248
distracted,11.558333333333334,0.0,0.8947368421052632,0.0,0.014098690816158223,1430.111111111111,278
distracted,11.65,0.0,0.9098712446351931,0.0,0.009762900957254484,1616.5,186
focused,5.608333333333333,0.004457652303120356,0.5111441307578009,0.462109955423477,4457652.303120356,14420.3,0
focused,5.633333333333334,0.004437869822485207,0.07100591715976332,0.8757396449704142,0.0,15329.861111111113,141
focused,15.241666666666667,0.0032804811372334607,0.16347731000546747,0.7288135593220338,0.006633499150692089,43958.83928571428,186
focused,12.441666666666666,0.004018754186202277,0.1868720696584059,0.49631614199598123,0.033195020541244125,25573.90476190476,45
focused,2.7916666666666665,0.005970149253731343,0.06865671641791045,0.0,0.39999998660000047,31370.333333333332,0
focused,2.4583333333333335,0.0,0.0,0.0,0.0,0.0,0
focused,2.4583333333333335,0.0,0.0,0.0,0.0,0.0,0
focused,6.0,0.0,0.0,0.0,27777777.777777776,89042.0,0
focused,15.508333333333333,0.0016120365394948952,0.0,0.0,11284255.776464265,27174.916666666668,0
focused,11.958333333333334,0.0027874564459930314,0.0,0.0,696864.1114982578,35669.277777777774,0
focused,2.45,0.0,0.0,0.0,0.0,9800.0,0
focused,2.783333333333333,0.0,0.0,0.0,0.0,0.0,2
focused,3.1166666666666667,0.00267379679144385,0.0374331550802139,0.0,0.0,9427.466666666665,2
focused,5.583333333333333,0.0029850746268656717,0.16716417910447762,0.0,0.0,11848.785714285714,0
